"","ESV_study$Name"
"KO:K00140","malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27] (mmsA, iolA, ALDH6A1)"
"KO:K00145","N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38] (argC)"
"KO:K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41] (proA)"
"KO:K00163","pyruvate dehydrogenase E1 component [EC:1.2.4.1] (aceE)"
"KO:K00164","2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2] (OGDH, sucA)"
"KO:K00208","enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10] (fabI)"
"KO:K00215","4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8] (dapB)"
"KO:K00230","menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3] (hemG)"
"KO:K00244","fumarate reductase flavoprotein subunit [EC:1.3.5.4] (frdA)"
"KO:K00245","fumarate reductase iron-sulfur subunit [EC:1.3.5.4] (frdB)"
"KO:K00246","fumarate reductase subunit C (frdC)"
"KO:K00247","fumarate reductase subunit D (frdD)"
"KO:K00254","dihydroorotate dehydrogenase [EC:1.3.5.2] (DHODH, pyrD)"
"KO:K00262","glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (E1.4.1.4, gdhA)"
"KO:K00275","pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5] (pdxH, PNPO)"
"KO:K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2] (proC)"
"KO:K00287","dihydrofolate reductase [EC:1.5.1.3] (folA)"
"KO:K00297","methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20] (metF, MTHFR)"
"KO:K00324","NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2] (pntA)"
"KO:K00325","NAD(P) transhydrogenase subunit beta [EC:1.6.1.2] (pntB)"
"KO:K00380","sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2] (cysJ)"
"KO:K00381","sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2] (cysI)"
"KO:K00382","dihydrolipoamide dehydrogenase [EC:1.8.1.4] (DLD, lpd, pdhD)"
"KO:K00390","phosphoadenosine phosphosulfate reductase [EC:1.8.4.8] (cysH)"
"KO:K00425","cytochrome d ubiquinol oxidase subunit I [EC:1.10.3.-] (cydA)"
"KO:K00426","cytochrome d ubiquinol oxidase subunit II [EC:1.10.3.-] (cydB)"
"KO:K00525","ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1] (E1.17.4.1A, nrdA, nrdE)"
"KO:K00526","ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1] (E1.17.4.1B, nrdB, nrdF)"
"KO:K00527","ribonucleoside-triphosphate reductase [EC:1.17.4.2] (nrdD)"
"KO:K00548","5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13] (metH, MTR)"
"KO:K00549","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14] (metE)"
"KO:K00558","DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37] (DNMT1, dcm)"
"KO:K00560","thymidylate synthase [EC:2.1.1.45] (thyA, TYMS)"
"KO:K00600","glycine hydroxymethyltransferase [EC:2.1.2.1] (glyA, SHMT)"
"KO:K00602","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10] (purH)"
"KO:K00611","ornithine carbamoyltransferase [EC:2.1.3.3] (OTC, argF, argI)"
"KO:K00615","transketolase [EC:2.2.1.1] (E2.2.1.1, tktA, tktB)"
"KO:K00616","transaldolase [EC:2.2.1.2] (E2.2.1.2, talA, talB)"
"KO:K00620","glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1] (argJ)"
"KO:K00627","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12] (DLAT, aceF, pdhC)"
"KO:K00631","glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15] (plsB)"
"KO:K00640","serine O-acetyltransferase [EC:2.3.1.30] (cysE)"
"KO:K00641","homoserine O-acetyltransferase [EC:2.3.1.31] (metX)"
"KO:K00645","[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39] (fabD)"
"KO:K00647","3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41] (fabB)"
"KO:K00648","3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180] (fabH)"
"KO:K00652","8-amino-7-oxononanoate synthase [EC:2.3.1.47] (bioF)"
"KO:K00655","1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51] (plsC)"
"KO:K00656","formate C-acetyltransferase [EC:2.3.1.54] (E2.3.1.54, pflD)"
"KO:K00658","2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61] (DLST, sucB)"
"KO:K00674","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase [EC:2.3.1.117] (dapD)"
"KO:K00677","UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129] (lpxA)"
"KO:K00681","gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13] (ggt)"
"KO:K00688","starch phosphorylase [EC:2.4.1.1] (E2.4.1.1, glgP, PYG)"
"KO:K00700","1,4-alpha-glucan branching enzyme [EC:2.4.1.18] (glgB)"
"KO:K00703","starch synthase [EC:2.4.1.21] (E2.4.1.21, glgA)"
"KO:K00705","4-alpha-glucanotransferase [EC:2.4.1.25] (malQ)"
"KO:K00748","lipid-A-disaccharide synthase [EC:2.4.1.182] (lpxB)"
"KO:K00757","uridine phosphorylase [EC:2.4.2.3] (udp, UPP)"
"KO:K00759","adenine phosphoribosyltransferase [EC:2.4.2.7] (APRT, apt)"
"KO:K00760","hypoxanthine phosphoribosyltransferase [EC:2.4.2.8] (hprT, hpt, HPRT1)"
"KO:K00761","uracil phosphoribosyltransferase [EC:2.4.2.9] (upp, UPRT)"
"KO:K00762","orotate phosphoribosyltransferase [EC:2.4.2.10] (pyrE)"
"KO:K00764","amidophosphoribosyltransferase [EC:2.4.2.14] (purF, PPAT)"
"KO:K00765","ATP phosphoribosyltransferase [EC:2.4.2.17] (hisG)"
"KO:K00766","anthranilate phosphoribosyltransferase [EC:2.4.2.18] (trpD)"
"KO:K00769","xanthine phosphoribosyltransferase [EC:2.4.2.22] (gpt)"
"KO:K00788","thiamine-phosphate pyrophosphorylase [EC:2.5.1.3] (thiE)"
"KO:K00789","S-adenosylmethionine synthetase [EC:2.5.1.6] (metK)"
"KO:K00790","UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7] (murA)"
"KO:K00791","tRNA dimethylallyltransferase [EC:2.5.1.75] (miaA, TRIT1)"
"KO:K00793","riboflavin synthase [EC:2.5.1.9] (ribE, RIB5)"
"KO:K00794","6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78] (ribH, RIB4)"
"KO:K00795","farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10] (ispA)"
"KO:K00796","dihydropteroate synthase [EC:2.5.1.15] (folP)"
"KO:K00800","3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19] (aroA)"
"KO:K00813","aspartate aminotransferase [EC:2.6.1.1] (aspC)"
"KO:K00817","histidinol-phosphate aminotransferase [EC:2.6.1.9] (hisC)"
"KO:K00818","acetylornithine aminotransferase [EC:2.6.1.11] (E2.6.1.11, argD)"
"KO:K00820","glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16] (glmS, GFPT)"
"KO:K00826","branched-chain amino acid aminotransferase [EC:2.6.1.42] (E2.6.1.42, ilvE)"
"KO:K00831","phosphoserine aminotransferase [EC:2.6.1.52] (serC, PSAT1)"
"KO:K00833","adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62] (bioA)"
"KO:K00836","diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76] (E2.6.1.76, ectB)"
"KO:K00847","fructokinase [EC:2.7.1.4] (E2.7.1.4, scrK)"
"KO:K00849","galactokinase [EC:2.7.1.6] (galK)"
"KO:K00850","6-phosphofructokinase 1 [EC:2.7.1.11] (pfkA, PFK)"
"KO:K00851","gluconokinase [EC:2.7.1.12] (E2.7.1.12, gntK, idnK)"
"KO:K00857","thymidine kinase [EC:2.7.1.21] (tdk, TK)"
"KO:K00858","NAD+ kinase [EC:2.7.1.23] (ppnK, NADK)"
"KO:K00859","dephospho-CoA kinase [EC:2.7.1.24] (coaE)"
"KO:K00864","glycerol kinase [EC:2.7.1.30] (glpK, GK)"
"KO:K00865","glycerate kinase [EC:2.7.1.31] (glxK)"
"KO:K00867","type I pantothenate kinase [EC:2.7.1.33] (coaA)"
"KO:K00868","pyridoxine kinase [EC:2.7.1.35] (pdxK, pdxY)"
"KO:K00872","homoserine kinase [EC:2.7.1.39] (thrB1)"
"KO:K00873","pyruvate kinase [EC:2.7.1.40] (PK, pyk)"
"KO:K00876","uridine kinase [EC:2.7.1.48] (udk, UCK)"
"KO:K00878","hydroxyethylthiazole kinase [EC:2.7.1.50] (thiM)"
"KO:K00884","N-acetylglucosamine kinase [EC:2.7.1.59] (NAGK, nagK)"
"KO:K00885","N-acylmannosamine kinase [EC:2.7.1.60] (nanK)"
"KO:K00891","shikimate kinase [EC:2.7.1.71] (E2.7.1.71, aroK, aroL)"
"KO:K00901","diacylglycerol kinase (ATP) [EC:2.7.1.107] (dgkA, DGK)"
"KO:K00912","tetraacyldisaccharide 4'-kinase [EC:2.7.1.130] (lpxK)"
"KO:K00919","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148] (ispE)"
"KO:K00925","acetate kinase [EC:2.7.2.1] (ackA)"
"KO:K00926","carbamate kinase [EC:2.7.2.2] (arcC)"
"KO:K00927","phosphoglycerate kinase [EC:2.7.2.3] (PGK, pgk)"
"KO:K00928","aspartate kinase [EC:2.7.2.4] (lysC)"
"KO:K00930","acetylglutamate kinase [EC:2.7.2.8] (argB)"
"KO:K00931","glutamate 5-kinase [EC:2.7.2.11] (proB)"
"KO:K00939","adenylate kinase [EC:2.7.4.3] (adk, AK)"
"KO:K00940","nucleoside-diphosphate kinase [EC:2.7.4.6] (ndk, NME)"
"KO:K00941","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7] (thiD)"
"KO:K00942","guanylate kinase [EC:2.7.4.8] (E2.7.4.8, gmk)"
"KO:K00943","dTMP kinase [EC:2.7.4.9] (tmk, DTYMK)"
"KO:K00945","cytidylate kinase [EC:2.7.4.14] (cmk)"
"KO:K00946","thiamine-monophosphate kinase [EC:2.7.4.16] (thiL)"
"KO:K00948","ribose-phosphate pyrophosphokinase [EC:2.7.6.1] (PRPS, prsA)"
"KO:K00949","thiamine pyrophosphokinase [EC:2.7.6.2] (thiN, TPK1, THI80)"
"KO:K00950","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3] (folK)"
"KO:K00954","pantetheine-phosphate adenylyltransferase [EC:2.7.7.3] (E2.7.7.3A, coaD, kdtB)"
"KO:K00956","sulfate adenylyltransferase subunit 1 [EC:2.7.7.4] (cysN)"
"KO:K00957","sulfate adenylyltransferase subunit 2 [EC:2.7.7.4] (cysD)"
"KO:K00963","UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9] (UGP2, galU, galF)"
"KO:K00965","UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12] (galT, GALT)"
"KO:K00975","glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (glgC)"
"KO:K00979","3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38] (kdsB)"
"KO:K00981","phosphatidate cytidylyltransferase [EC:2.7.7.41] (E2.7.7.41, CDS1, CDS2, cdsA)"
"KO:K00991","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60] (ispD)"
"KO:K00995","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5] (pgsA, PGS1)"
"KO:K00998","CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8] (pssA)"
"KO:K01000","phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13] (mraY)"
"KO:K01008","selenide, water dikinase [EC:2.7.9.3] (selD, SEPHS)"
"KO:K01011","thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2] (TST, MPST, sseA)"
"KO:K01012","biotin synthase [EC:2.8.1.6] (bioB)"
"KO:K01057","6-phosphogluconolactonase [EC:3.1.1.31] (PGLS, pgl, devB)"
"KO:K01079","phosphoserine phosphatase [EC:3.1.3.3] (serB, PSPH)"
"KO:K01081","5'-nucleotidase [EC:3.1.3.5] (E3.1.3.5)"
"KO:K01082","3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7] (cysQ, MET22, BPNT1)"
"KO:K01089","imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15] (hisB)"
"KO:K01091","phosphoglycolate phosphatase [EC:3.1.3.18] (gph)"
"KO:K01092","myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25] (E3.1.3.25, IMPA, suhB)"
"KO:K01095","phosphatidylglycerophosphatase A [EC:3.1.3.27] (pgpA)"
"KO:K01096","phosphatidylglycerophosphatase B [EC:3.1.3.27 3.1.3.81 3.1.3.4 3.6.1.27] (pgpB)"
"KO:K01190","beta-galactosidase [EC:3.2.1.23] (lacZ)"
"KO:K01193","beta-fructofuranosidase [EC:3.2.1.26] (E3.2.1.26, sacA)"
"KO:K01207","beta-N-acetylhexosaminidase [EC:3.2.1.52] (nagZ)"
"KO:K01243","adenosylhomocysteine nucleosidase [EC:3.2.2.9] (mtnN, mtn, pfs)"
"KO:K01255","leucyl aminopeptidase [EC:3.4.11.1] (CARP, pepA)"
"KO:K01256","aminopeptidase N [EC:3.4.11.2] (pepN)"
"KO:K01270","dipeptidase D [EC:3.4.13.-] (pepD)"
"KO:K01424","L-asparaginase [EC:3.5.1.1] (E3.5.1.1, ansA, ansB)"
"KO:K01428","urease subunit alpha [EC:3.5.1.5] (ureC)"
"KO:K01429","urease subunit beta [EC:3.5.1.5] (ureB)"
"KO:K01430","urease subunit gamma [EC:3.5.1.5] (ureA)"
"KO:K01439","succinyl-diaminopimelate desuccinylase [EC:3.5.1.18] (dapE)"
"KO:K01460","glutathionylspermidine amidase/synthetase [EC:3.5.1.78 6.3.1.8] (gsp)"
"KO:K01485","cytosine deaminase [EC:3.5.4.1] (codA)"
"KO:K01489","cytidine deaminase [EC:3.5.4.5] (cdd, CDA)"
"KO:K01491","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9] (folD)"
"KO:K01494","dCTP deaminase [EC:3.5.4.13] (dcd)"
"KO:K01495","GTP cyclohydrolase I [EC:3.5.4.16] (GCH1, folE)"
"KO:K01497","GTP cyclohydrolase II [EC:3.5.4.25] (ribA, RIB1)"
"KO:K01520","dUTP pyrophosphatase [EC:3.6.1.23] (dut, DUT)"
"KO:K01571","oxaloacetate decarboxylase, alpha subunit [EC:4.1.1.3] (oadA)"
"KO:K01572","oxaloacetate decarboxylase, beta subunit [EC:4.1.1.3] (oadB)"
"KO:K01573","oxaloacetate decarboxylase, gamma subunit [EC:4.1.1.3] (oadG)"
"KO:K01581","ornithine decarboxylase [EC:4.1.1.17] (E4.1.1.17, ODC1, speC, speF)"
"KO:K01586","diaminopimelate decarboxylase [EC:4.1.1.20] (lysA)"
"KO:K01588","5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18] (purE)"
"KO:K01589","5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18] (purK)"
"KO:K01591","orotidine-5'-phosphate decarboxylase [EC:4.1.1.23] (pyrF)"
"KO:K01595","phosphoenolpyruvate carboxylase [EC:4.1.1.31] (ppc)"
"KO:K01599","uroporphyrinogen decarboxylase [EC:4.1.1.37] (hemE, UROD)"
"KO:K01610","phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] (E4.1.1.49, pckA)"
"KO:K01613","phosphatidylserine decarboxylase [EC:4.1.1.65] (psd, PISD)"
"KO:K01624","fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (FBA, fbaA)"
"KO:K01626","3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54] (E2.5.1.54, aroF, aroG, aroH)"
"KO:K01627","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55] (kdsA)"
"KO:K01633","dihydroneopterin aldolase [EC:4.1.2.25] (folB)"
"KO:K01647","citrate synthase [EC:2.3.3.1] (CS, gltA)"
"KO:K01649","2-isopropylmalate synthase [EC:2.3.3.13] (leuA)"
"KO:K01652","acetolactate synthase I/II/III large subunit [EC:2.2.1.6] (E2.2.1.6L, ilvB, ilvG, ilvI)"
"KO:K01653","acetolactate synthase I/III small subunit [EC:2.2.1.6] (E2.2.1.6S, ilvH, ilvN)"
"KO:K01654","N-acetylneuraminate synthase [EC:2.5.1.56] (E2.5.1.56, neuB)"
"KO:K01657","anthranilate synthase component I [EC:4.1.3.27] (trpE)"
"KO:K01658","anthranilate synthase component II [EC:4.1.3.27] (trpG)"
"KO:K01661","naphthoate synthase [EC:4.1.3.36] (menB)"
"KO:K01662","1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7] (dxs)"
"KO:K01679","fumarate hydratase, class II [EC:4.2.1.2] (E4.2.1.2B, fumC)"
"KO:K01682","aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99] (acnB)"
"KO:K01687","dihydroxy-acid dehydratase [EC:4.2.1.9] (ilvD)"
"KO:K01689","enolase [EC:4.2.1.11] (ENO, eno)"
"KO:K01695","tryptophan synthase alpha chain [EC:4.2.1.20] (trpA)"
"KO:K01696","tryptophan synthase beta chain [EC:4.2.1.20] (trpB)"
"KO:K01698","porphobilinogen synthase [EC:4.2.1.24] (hemB, ALAD)"
"KO:K01703","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35] (leuC)"
"KO:K01704","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35] (leuD)"
"KO:K01710","dTDP-glucose 4,6-dehydratase [EC:4.2.1.46] (E4.2.1.46, rfbB, rffG)"
"KO:K01714","4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7] (dapA)"
"KO:K01716","3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14] (fabA)"
"KO:K01719","uroporphyrinogen-III synthase [EC:4.2.1.75] (hemD, UROS)"
"KO:K01733","threonine synthase [EC:4.2.3.1] (thrC)"
"KO:K01735","3-dehydroquinate synthase [EC:4.2.3.4] (aroB)"
"KO:K01736","chorismate synthase [EC:4.2.3.5] (aroC)"
"KO:K01737","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50] (queD, ptpS, PTS)"
"KO:K01738","cysteine synthase A [EC:2.5.1.47] (cysK)"
"KO:K01739","cystathionine gamma-synthase [EC:2.5.1.48] (metB)"
"KO:K01740","O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49] (E2.5.1.49, metY)"
"KO:K01744","aspartate ammonia-lyase [EC:4.3.1.1] (aspA)"
"KO:K01749","hydroxymethylbilane synthase [EC:2.5.1.61] (hemC, HMBS)"
"KO:K01752","L-serine dehydratase [EC:4.3.1.17] (E4.3.1.17, sdaA, sdaB, tdcG)"
"KO:K01754","threonine dehydratase [EC:4.3.1.19] (E4.3.1.19, ilvA, tdcB)"
"KO:K01755","argininosuccinate lyase [EC:4.3.2.1] (argH, ASL)"
"KO:K01756","adenylosuccinate lyase [EC:4.3.2.2] (purB, ADSL)"
"KO:K01760","cystathionine beta-lyase [EC:4.4.1.8] (metC)"
"KO:K01770","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12] (ispF)"
"KO:K01772","ferrochelatase [EC:4.99.1.1] (hemH, FECH)"
"KO:K01775","alanine racemase [EC:5.1.1.1] (alr)"
"KO:K01776","glutamate racemase [EC:5.1.1.3] (murI)"
"KO:K01778","diaminopimelate epimerase [EC:5.1.1.7] (dapF)"
"KO:K01783","ribulose-phosphate 3-epimerase [EC:5.1.3.1] (rpe, RPE)"
"KO:K01784","UDP-glucose 4-epimerase [EC:5.1.3.2] (galE, GALE)"
"KO:K01785","aldose 1-epimerase [EC:5.1.3.3] (galM, GALM)"
"KO:K01791","UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14] (wecB)"
"KO:K01792","glucose-6-phosphate 1-epimerase [EC:5.1.3.15] (E5.1.3.15)"
"KO:K01803","triosephosphate isomerase (TIM) [EC:5.3.1.1] (TPI, tpiA)"
"KO:K01807","ribose 5-phosphate isomerase A [EC:5.3.1.6] (rpiA)"
"KO:K01809","mannose-6-phosphate isomerase [EC:5.3.1.8] (manA, MPI)"
"KO:K01810","glucose-6-phosphate isomerase [EC:5.3.1.9] (GPI, pgi)"
"KO:K01814","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16] (hisA)"
"KO:K01821","4-oxalocrotonate tautomerase [EC:5.3.2.6] (praC, xylH)"
"KO:K01834","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11] (PGAM, gpmA)"
"KO:K01840","phosphomannomutase [EC:5.4.2.8] (manB)"
"KO:K01845","glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8] (hemL)"
"KO:K01885","glutamyl-tRNA synthetase [EC:6.1.1.17] (EARS, gltX)"
"KO:K01886","glutaminyl-tRNA synthetase [EC:6.1.1.18] (QARS, glnS)"
"KO:K01897","long-chain acyl-CoA synthetase [EC:6.2.1.3] (ACSL, fadD)"
"KO:K01902","succinyl-CoA synthetase alpha subunit [EC:6.2.1.5] (sucD)"
"KO:K01903","succinyl-CoA synthetase beta subunit [EC:6.2.1.5] (sucC)"
"KO:K01911","O-succinylbenzoic acid--CoA ligase [EC:6.2.1.26] (menE)"
"KO:K01914","aspartate--ammonia ligase [EC:6.3.1.1] (asnA)"
"KO:K01915","glutamine synthetase [EC:6.3.1.2] (glnA, GLUL)"
"KO:K01919","glutamate--cysteine ligase [EC:6.3.2.2] (gshA)"
"KO:K01921","D-alanine-D-alanine ligase [EC:6.3.2.4] (ddl)"
"KO:K01923","phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6] (purC)"
"KO:K01924","UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8] (murC)"
"KO:K01925","UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9] (murD)"
"KO:K01929","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10] (murF)"
"KO:K01933","phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1] (purM)"
"KO:K01934","5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2] (MTHFS)"
"KO:K01935","dethiobiotin synthetase [EC:6.3.3.3] (bioD)"
"KO:K01937","CTP synthase [EC:6.3.4.2] (pyrG, CTPS)"
"KO:K01939","adenylosuccinate synthase [EC:6.3.4.4] (purA, ADSS)"
"KO:K01940","argininosuccinate synthase [EC:6.3.4.5] (argG, ASS1)"
"KO:K01945","phosphoribosylamine--glycine ligase [EC:6.3.4.13] (purD)"
"KO:K01951","GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2] (guaA, GMPS)"
"KO:K01952","phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (purL, PFAS)"
"KO:K01955","carbamoyl-phosphate synthase large subunit [EC:6.3.5.5] (carB, CPA2)"
"KO:K01956","carbamoyl-phosphate synthase small subunit [EC:6.3.5.5] (carA, CPA1)"
"KO:K01961","acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14] (accC)"
"KO:K01962","acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2] (accA)"
"KO:K01963","acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2] (accD)"
"KO:K02108","F-type H+-transporting ATPase subunit a (ATPF0A, atpB)"
"KO:K02109","F-type H+-transporting ATPase subunit b (ATPF0B, atpF)"
"KO:K02110","F-type H+-transporting ATPase subunit c (ATPF0C, atpE)"
"KO:K02111","F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (ATPF1A, atpA)"
"KO:K02112","F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (ATPF1B, atpD)"
"KO:K02113","F-type H+-transporting ATPase subunit delta (ATPF1D, atpH)"
"KO:K02114","F-type H+-transporting ATPase subunit epsilon (ATPF1E, atpC)"
"KO:K02115","F-type H+-transporting ATPase subunit gamma (ATPF1G, atpG)"
