"","ESV_study$Name"
"KO:K00865","glycerate kinase [EC:2.7.1.31] (glxK)"
"KO:K00868","pyridoxine kinase [EC:2.7.1.35] (pdxK, pdxY)"
"KO:K00873","pyruvate kinase [EC:2.7.1.40] (PK, pyk)"
"KO:K00874","2-dehydro-3-deoxygluconokinase [EC:2.7.1.45] (kdgK)"
"KO:K00876","uridine kinase [EC:2.7.1.48] (udk, UCK)"
"KO:K00878","hydroxyethylthiazole kinase [EC:2.7.1.50] (thiM)"
"KO:K00899","5-methylthioribose kinase [EC:2.7.1.100] (mtnK)"
"KO:K00901","diacylglycerol kinase (ATP) [EC:2.7.1.107] (dgkA, DGK)"
"KO:K00917","tagatose 6-phosphate kinase [EC:2.7.1.144] (lacC)"
"KO:K00919","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148] (ispE)"
"KO:K00925","acetate kinase [EC:2.7.2.1] (ackA)"
"KO:K00926","carbamate kinase [EC:2.7.2.2] (arcC)"
"KO:K00927","phosphoglycerate kinase [EC:2.7.2.3] (PGK, pgk)"
"KO:K00931","glutamate 5-kinase [EC:2.7.2.11] (proB)"
"KO:K00939","adenylate kinase [EC:2.7.4.3] (adk, AK)"
"KO:K00941","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7] (thiD)"
"KO:K00942","guanylate kinase [EC:2.7.4.8] (E2.7.4.8, gmk)"
"KO:K00943","dTMP kinase [EC:2.7.4.9] (tmk, DTYMK)"
"KO:K00945","cytidylate kinase [EC:2.7.4.14] (cmk)"
"KO:K00948","ribose-phosphate pyrophosphokinase [EC:2.7.6.1] (PRPS, prsA)"
"KO:K00949","thiamine pyrophosphokinase [EC:2.7.6.2] (thiN, TPK1, THI80)"
"KO:K00954","pantetheine-phosphate adenylyltransferase [EC:2.7.7.3] (E2.7.7.3A, coaD, kdtB)"
"KO:K00969","nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18] (nadD)"
"KO:K00975","glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (glgC)"
"KO:K00981","phosphatidate cytidylyltransferase [EC:2.7.7.41] (E2.7.7.41, CDS1, CDS2, cdsA)"
"KO:K00991","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60] (ispD)"
"KO:K00995","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5] (pgsA, PGS1)"
"KO:K01000","phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13] (mraY)"
"KO:K01006","pyruvate, orthophosphate dikinase [EC:2.7.9.1] (ppdK)"
"KO:K01008","selenide, water dikinase [EC:2.7.9.3] (selD, SEPHS)"
"KO:K01012","biotin synthase [EC:2.8.1.6] (bioB)"
"KO:K01091","phosphoglycolate phosphatase [EC:3.1.3.18] (gph)"
"KO:K01176","alpha-amylase [EC:3.2.1.1] (E3.2.1.1, amyA, malS)"
"KO:K01270","dipeptidase D [EC:3.4.13.-] (pepD)"
"KO:K01425","glutaminase [EC:3.5.1.2] (glsA, GLS)"
"KO:K01428","urease subunit alpha [EC:3.5.1.5] (ureC)"
"KO:K01429","urease subunit beta [EC:3.5.1.5] (ureB)"
"KO:K01430","urease subunit gamma [EC:3.5.1.5] (ureA)"
"KO:K01464","dihydropyrimidinase [EC:3.5.2.2] (DPYS, dht, hydA)"
"KO:K01465","dihydroorotase [EC:3.5.2.3] (URA4, pyrC)"
"KO:K01478","arginine deiminase [EC:3.5.3.6] (arcA)"
"KO:K01486","adenine deaminase [EC:3.5.4.2] (ade)"
"KO:K01487","guanine deaminase [EC:3.5.4.3] (E3.5.4.3, guaD)"
"KO:K01489","cytidine deaminase [EC:3.5.4.5] (cdd, CDA)"
"KO:K01491","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9] (folD)"
"KO:K01493","dCMP deaminase [EC:3.5.4.12] (comEB)"
"KO:K01520","dUTP pyrophosphatase [EC:3.6.1.23] (dut, DUT)"
"KO:K01560","2-haloacid dehalogenase [EC:3.8.1.2] (E3.8.1.2)"
"KO:K01579","aspartate 1-decarboxylase [EC:4.1.1.11] (panD)"
"KO:K01586","diaminopimelate decarboxylase [EC:4.1.1.20] (lysA)"
"KO:K01588","5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18] (purE)"
"KO:K01591","orotidine-5'-phosphate decarboxylase [EC:4.1.1.23] (pyrF)"
"KO:K01599","uroporphyrinogen decarboxylase [EC:4.1.1.37] (hemE, UROD)"
"KO:K01620","threonine aldolase [EC:4.1.2.5] (ltaE)"
"KO:K01624","fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (FBA, fbaA)"
"KO:K01625","2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42] (eda)"
"KO:K01635","tagatose 1,6-diphosphate aldolase [EC:4.1.2.40] (lacD)"
"KO:K01647","citrate synthase [EC:2.3.3.1] (CS, gltA)"
"KO:K01652","acetolactate synthase I/II/III large subunit [EC:2.2.1.6] (E2.2.1.6L, ilvB, ilvG, ilvI)"
"KO:K01679","fumarate hydratase, class II [EC:4.2.1.2] (E4.2.1.2B, fumC)"
"KO:K01681","aconitate hydratase [EC:4.2.1.3] (ACO, acnA)"
"KO:K01686","mannonate dehydratase [EC:4.2.1.8] (uxuA)"
"KO:K01689","enolase [EC:4.2.1.11] (ENO, eno)"
"KO:K01698","porphobilinogen synthase [EC:4.2.1.24] (hemB, ALAD)"
"KO:K01735","3-dehydroquinate synthase [EC:4.2.3.4] (aroB)"
"KO:K01736","chorismate synthase [EC:4.2.3.5] (aroC)"
"KO:K01738","cysteine synthase A [EC:2.5.1.47] (cysK)"
"KO:K01744","aspartate ammonia-lyase [EC:4.3.1.1] (aspA)"
"KO:K01752","L-serine dehydratase [EC:4.3.1.17] (E4.3.1.17, sdaA, sdaB, tdcG)"
"KO:K01754","threonine dehydratase [EC:4.3.1.19] (E4.3.1.19, ilvA, tdcB)"
"KO:K01770","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12] (ispF)"
"KO:K01775","alanine racemase [EC:5.1.1.1] (alr)"
"KO:K01776","glutamate racemase [EC:5.1.1.3] (murI)"
"KO:K01783","ribulose-phosphate 3-epimerase [EC:5.1.3.1] (rpe, RPE)"
"KO:K01784","UDP-glucose 4-epimerase [EC:5.1.3.2] (galE, GALE)"
"KO:K01786","L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4] (araD)"
"KO:K01803","triosephosphate isomerase (TIM) [EC:5.3.1.1] (TPI, tpiA)"
"KO:K01808","ribose 5-phosphate isomerase B [EC:5.3.1.6] (rpiB)"
"KO:K01809","mannose-6-phosphate isomerase [EC:5.3.1.8] (manA, MPI)"
"KO:K01810","glucose-6-phosphate isomerase [EC:5.3.1.9] (GPI, pgi)"
"KO:K01812","glucuronate isomerase [EC:5.3.1.12] (uxaC)"
"KO:K01823","isopentenyl-diphosphate delta-isomerase [EC:5.3.3.2] (idi, IDI)"
"KO:K01834","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11] (PGAM, gpmA)"
"KO:K01840","phosphomannomutase [EC:5.4.2.8] (manB)"
"KO:K01845","glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8] (hemL)"
"KO:K01914","aspartate--ammonia ligase [EC:6.3.1.1] (asnA)"
"KO:K01915","glutamine synthetase [EC:6.3.1.2] (glnA, GLUL)"
"KO:K01918","pantoate--beta-alanine ligase [EC:6.3.2.1] (panC)"
"KO:K01919","glutamate--cysteine ligase [EC:6.3.2.2] (gshA)"
"KO:K01921","D-alanine-D-alanine ligase [EC:6.3.2.4] (ddl)"
"KO:K01923","phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6] (purC)"
"KO:K01924","UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8] (murC)"
"KO:K01925","UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9] (murD)"
"KO:K01929","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10] (murF)"
"KO:K01933","phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1] (purM)"
"KO:K01934","5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2] (MTHFS)"
"KO:K01938","formate--tetrahydrofolate ligase [EC:6.3.4.3] (fhs)"
"KO:K01945","phosphoribosylamine--glycine ligase [EC:6.3.4.13] (purD)"
"KO:K01950","NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1] (E6.3.5.1, NADSYN1, QNS1, nadE)"
"KO:K01951","GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2] (guaA, GMPS)"
"KO:K01952","phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (purL, PFAS)"
"KO:K02117","V/A-type H+-transporting ATPase subunit A [EC:3.6.3.14] (ATPVA, ntpA, atpA)"
"KO:K02118","V/A-type H+-transporting ATPase subunit B (ATPVB, ntpB, atpB)"
"KO:K02119","V/A-type H+-transporting ATPase subunit C (ATPVC, ntpC, atpC)"
"KO:K02120","V/A-type H+-transporting ATPase subunit D (ATPVD, ntpD, atpD)"
"KO:K02121","V/A-type H+-transporting ATPase subunit E (ATPVE, ntpE, atpE)"
"KO:K02122","V/A-type H+-transporting ATPase subunit F (ATPVF, ntpF, atpF)"
"KO:K02123","V/A-type H+-transporting ATPase subunit I (ATPVI, ntpI, atpI)"
"KO:K02124","V/A-type H+-transporting ATPase subunit K (ATPVK, ntpK, atpK)"
"KO:K02226","alpha-ribazole phosphatase [EC:3.1.3.73] (cobC2, cobC, phpB)"
"KO:K02302","uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4] (cysG)"
"KO:K02304","precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4] (MET8)"
"KO:K02335","DNA polymerase I [EC:2.7.7.7] (DPO1, polA)"
"KO:K02337","DNA polymerase III subunit alpha [EC:2.7.7.7] (DPO3A1, dnaE)"
"KO:K02338","DNA polymerase III subunit beta [EC:2.7.7.7] (DPO3B, dnaN)"
"KO:K02340","DNA polymerase III subunit delta [EC:2.7.7.7] (DPO3D1, holA)"
"KO:K02341","DNA polymerase III subunit delta' [EC:2.7.7.7] (DPO3D2, holB)"
"KO:K02343","DNA polymerase III subunit gamma/tau [EC:2.7.7.7] (DPO3G, dnaX)"
"KO:K02433","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7] (gatA, QRSL1)"
"KO:K02434","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7] (gatB, PET112)"
"KO:K02435","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7] (gatC, GATC)"
"KO:K02446","fructose-1,6-bisphosphatase II [EC:3.1.3.11] (glpX)"
"KO:K02492","glutamyl-tRNA reductase [EC:1.2.1.70] (hemA)"
"KO:K02495","oxygen-independent coproporphyrinogen III oxidase [EC:1.3.99.22] (hemN, hemZ)"
"KO:K02548","1,4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.74 2.5.1.-] (menA)"
"KO:K02563","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227] (murG)"
"KO:K02564","glucosamine-6-phosphate deaminase [EC:3.5.99.6] (nagB, GNPDA)"
"KO:K02768","PTS system, fructose-specific IIA component [EC:2.7.1.69] (PTS-Fru-EIIA, fruB)"
"KO:K02769","PTS system, fructose-specific IIB component [EC:2.7.1.69] (PTS-Fru-EIIB, fruA)"
"KO:K02770","PTS system, fructose-specific IIC component (PTS-Fru-EIIC, fruA)"
"KO:K02773","PTS system, galactitol-specific IIA component [EC:2.7.1.69] (PTS-Gat-EIIA, gatA)"
"KO:K02774","PTS system, galactitol-specific IIB component [EC:2.7.1.69] (PTS-Gat-EIIB, gatB)"
"KO:K02775","PTS system, galactitol-specific IIC component (PTS-Gat-EIIC, gatC)"
"KO:K02793","PTS system, mannose-specific IIA component [EC:2.7.1.69] (PTS-Man-EIIA, manX)"
"KO:K02794","PTS system, mannose-specific IIB component [EC:2.7.1.69] (PTS-Man-EIIB, manX)"
"KO:K02795","PTS system, mannose-specific IIC component (PTS-Man-EIIC, manY)"
"KO:K02796","PTS system, mannose-specific IID component (PTS-Man-EIID, manZ)"
"KO:K02821","PTS system, ascorbate-specific IIA component [EC:2.7.1.69] (PTS-Ula-EIIA, ulaC, sgaA)"
"KO:K02822","PTS system, ascorbate-specific IIB component [EC:2.7.1.69] (PTS-Ula-EIIB, ulaB, sgaB)"
"KO:K02823","dihydroorotate dehydrogenase electron transfer subunit (pyrDII)"
"KO:K03040","DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (rpoA)"
"KO:K03043","DNA-directed RNA polymerase subunit beta [EC:2.7.7.6] (rpoB)"
"KO:K03046","DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (rpoC)"
"KO:K03060","DNA-directed RNA polymerase subunit omega [EC:2.7.7.6] (rpoZ)"
"KO:K03079","L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22] (ulaE, sgaU)"
"KO:K03147","phosphomethylpyrimidine synthase [EC:4.1.99.17] (thiC)"
"KO:K03148","sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73] (thiF)"
"KO:K03149","thiazole synthase [EC:2.8.1.10] (thiG)"
"KO:K03150","2-iminoacetate synthase [EC:4.1.99.19] (thiH)"
"KO:K03151","thiamine biosynthesis protein ThiI (thiI)"
"KO:K03183","demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201] (ubiE)"
"KO:K03431","phosphoglucosamine mutase [EC:5.4.2.10] (glmM)"
"KO:K03475","PTS system, ascorbate-specific IIC component (PTS-Ula-EIIC, ulaA, sgaT)"
"KO:K03476","L-ascorbate 6-phosphate lactonase [EC:3.1.1.-] (ulaG)"
"KO:K03525","type III pantothenate kinase [EC:2.7.1.33] (coaX)"
"KO:K03526","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3] (gcpE, ispG)"
"KO:K03527","4-hydroxy-3-methylbut-2-enyl diphosphate reductase [EC:1.17.1.2] (ispH, lytB)"
"KO:K03621","glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15] (plsX)"
"KO:K03637","cyclic pyranopterin phosphate synthase [EC:4.1.99.18] (moaC)"
"KO:K03639","cyclic pyranopterin phosphate synthase [EC:4.1.99.18] (MOCS1, moaA)"
"KO:K03737","pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (por, nifJ)"
"KO:K03763","DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7] (DPO3A2, polC)"
"KO:K03784","purine-nucleoside phosphorylase [EC:2.4.2.1] (deoD)"
"KO:K03786","3-dehydroquinate dehydratase II [EC:4.2.1.10] (aroQ, qutE)"
"KO:K03816","xanthine phosphoribosyltransferase [EC:2.4.2.22] (xpt)"
"KO:K03856","3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54] (AROA2, aroA)"
"KO:K04041","fructose-1,6-bisphosphatase III [EC:3.1.3.11] (fbp3)"
"KO:K04042","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157] (glmU)"
"KO:K04486","histidinol-phosphatase (PHP family) [EC:3.1.3.15] (E3.1.3.15B)"
"KO:K04487","cysteine desulfurase [EC:2.8.1.7] (iscS, NFS1)"
"KO:K04517","prephenate dehydrogenase [EC:1.3.1.12] (tyrA2)"
"KO:K05349","beta-glucosidase [EC:3.2.1.21] (bglX)"
"KO:K05366","penicillin-binding protein 1A [EC:2.4.1.- 3.4.-.-] (mrcA)"
"KO:K05878","dihydroxyacetone kinase, N-terminal domain [EC:2.7.1.-] (dhaK)"
"KO:K05879","dihydroxyacetone kinase, C-terminal domain [EC:2.7.1.-] (dhaL)"
"KO:K06131","cardiolipin synthase A/B [EC:2.7.8.-] (clsA_B)"
"KO:K06881","bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3] (nrnA)"
"KO:K07029","diacylglycerol kinase (ATP) [EC:2.7.1.107] (dagK)"
"KO:K07106","N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126] (murQ)"
"KO:K07258","D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4] (dacC, dacA, dacD)"
"KO:K08302","tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40] (gatY-kbaY)"
"KO:K08591","glycerol-3-phosphate acyltransferase PlsY [EC:2.3.1.15] (plsY)"
"KO:K08963","methylthioribose-1-phosphate isomerase [EC:5.3.1.23] (mtnA)"
"KO:K09698","nondiscriminating glutamyl-tRNA synthetase [EC:6.1.1.24] (gltX)"
"KO:K09903","uridylate kinase [EC:2.7.4.22] (pyrH)"
"KO:K11175","phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2] (purN)"
"KO:K11717","cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16] (sufS)"
"KO:K11752","diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193] (ribD)"
"KO:K11753","riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2] (ribF)"
"KO:K11754","dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17] (folC)"
"KO:K12960","5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28] (mtaD)"
"KO:K13038","phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase [EC:4.1.1.36 6.3.2.5] (coaBC, dfp)"
"KO:K13479","xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4] (ygeT, xdhB)"
"KO:K13542","uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75] (cobA-hemD)"
"KO:K13677","1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase [EC:2.4.1.208] (dgs, bgsA)"
"KO:K13789","geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29] (GGPS)"
"KO:K14048","urease subunit gamma/beta [EC:3.5.1.5] (ureAB)"
"KO:K14170","chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51] (pheA)"
"KO:K14652","3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25] (ribBA)"
"KO:K15634","probable phosphoglycerate mutase [EC:5.4.2.12] (gpmB)"
"KO:K15780","bifunctional protein TilS/HprT [EC:6.3.4.19 2.4.2.8] (tilS-hprT)"
"KO:K17462","putative AdoMet-dependent methyltransferase [EC:2.1.1.-] (yrrT)"
"KO:K17828","dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14] (pyrDI)"
"KO:K19002","1,2-diacylglycerol 3-alpha-glucosyltransferase [EC:2.4.1.337] (mgs, bgsB)"
"KO:K19244","alanine dehydrogenase [EC:1.4.1.1] (ala)"
