Function ID,Name,Ana sen JC8 2547132134
KO:K00055,aryl-alcohol dehydrogenase [EC:1.1.1.90] (E1.1.1.90),0
KO:K00058,"D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95] (serA, PHGDH)",1
KO:K00059,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] (fabG),1
KO:K00064,D-threo-aldose 1-dehydrogenase [EC:1.1.1.122] (E1.1.1.122),0
KO:K00067,"dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133] (rfbD, rmlD)",1
KO:K00070,3beta-hydroxy-delta5-steroid dehydrogenase / steroid delta-isomerase [EC:1.1.1.145 5.3.3.1] (HSD3B),0
KO:K00072,sepiapterin reductase [EC:1.1.1.153] (SPR),0
KO:K00074,"3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157] (paaH, hbd, fadB, mmgB)",3
KO:K00075,UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98] (murB),1
KO:K00077,"2-dehydropantoate 2-reductase [EC:1.1.1.169] (panE, apbA)",0
KO:K00079,carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197] (CBR1),0
KO:K00081,carbonyl reductase 2 [EC:1.1.1.184] (CBR2),0
KO:K00082,5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193] (ribD2),0
KO:K00083,cinnamyl-alcohol dehydrogenase [EC:1.1.1.195] (E1.1.1.195),0
KO:K00084,carbonyl reductase 3 [EC:1.1.1.184] (CBR3),0
KO:K00087,"xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4] (ygeS, xdhA)",0
KO:K00088,IMP dehydrogenase [EC:1.1.1.205] (guaB),1
KO:K00090,gluconate 2-dehydrogenase [EC:1.1.1.215] (E1.1.1.215),0
KO:K00093,methanol dehydrogenase [EC:1.1.1.244] (medh),0
KO:K00094,"galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251] (E1.1.1.251, gatD)",0
KO:K00097,4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262] (pdxA),0
KO:K00099,1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267] (dxr),0
KO:K00100,E1.1.1.-,1
KO:K00101,"L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3] (E1.1.2.3, lldD)",0
KO:K00103,L-gulonolactone oxidase [EC:1.1.3.8] (GULO),0
KO:K00104,glycolate oxidase [EC:1.1.3.15] (glcD),1
KO:K00106,xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2] (XDH),0
KO:K00108,"choline dehydrogenase [EC:1.1.99.1] (betA, CHDH)",0
KO:K00114,alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8] (exaA),0
KO:K00115,glucose dehydrogenase (acceptor) [EC:1.1.5.9] (E1.1.5.9),0
KO:K00116,malate dehydrogenase (quinone) [EC:1.1.5.4] (mqo),0
KO:K00117,quinoprotein glucose dehydrogenase [EC:1.1.5.2] (gcd),0
KO:K00121,"S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1] (frmA, ADH5, adhC)",0
KO:K00122,formate dehydrogenase [EC:1.2.1.2] (FDH),0
KO:K00123,"formate dehydrogenase major subunit [EC:1.2.1.2] (fdoG, fdfH)",0
KO:K00124,formate dehydrogenase iron-sulfur subunit (fdoH),0
KO:K00125,"formate dehydrogenase, beta subunit [EC:1.2.1.2] (E1.2.1.2B2)",0
KO:K00126,formate dehydrogenase subunit delta [EC:1.2.1.2] (fdsD),0
KO:K00127,formate dehydrogenase subunit gamma (fdoI),0
KO:K00128,aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] (E1.2.1.3),1
KO:K00129,aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5] (E1.2.1.5),0
KO:K00130,"betaine-aldehyde dehydrogenase [EC:1.2.1.8] (betB, gbsA)",0
KO:K00131,glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9] (gapN),0
KO:K00132,acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10] (E1.2.1.10),0
KO:K00133,aspartate-semialdehyde dehydrogenase [EC:1.2.1.11] (asd),0
KO:K00134,"glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] (GAPDH, gapA)",1
KO:K00135,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20] (gabD),0
KO:K00137,aminobutyraldehyde dehydrogenase [EC:1.2.1.19] (prr),0
KO:K00138,aldehyde dehydrogenase [EC:1.2.1.-] (aldB),0
KO:K00139,succinate-semialdehyde dehydrogenase [EC:1.2.1.24] (ALDH5A1),0
KO:K00140,"malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27] (mmsA, iolA, ALDH6A1)",0
KO:K00141,benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28] (xylC),0
KO:K00143,L-aminoadipate-semialdehyde dehydrogenase [EC:1.2.1.31] (LYS2),0
KO:K00145,N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38] (argC),0
KO:K00146,phenylacetaldehyde dehydrogenase [EC:1.2.1.39] (feaB),0
KO:K00147,glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41] (proA),1
KO:K00148,glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46] (fdhA),0
KO:K00149,aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3] (ALDH9A1),0
KO:K00150,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59] (gap2),0
KO:K00152,salicylaldehyde dehydrogenase [EC:1.2.1.65] (nahF),0
KO:K00157,aldehyde oxidase [EC:1.2.3.1] (AOX),0
KO:K00158,"pyruvate oxidase [EC:1.2.3.3] (E1.2.3.3, poxL)",0
KO:K00161,"pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1] (PDHA, pdhA)",0
KO:K00162,"pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1] (PDHB, pdhB)",0
KO:K00163,pyruvate dehydrogenase E1 component [EC:1.2.4.1] (aceE),0
KO:K00164,"2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2] (OGDH, sucA)",0
KO:K00166,"2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4] (BCKDHA, bkdA1)",0
KO:K00167,"2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4] (BCKDHB, bkdA2)",0
KO:K00169,pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1] (porA),0
KO:K00170,pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1] (porB),0
KO:K00171,pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1] (porD),0
KO:K00172,pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1] (porG),0
KO:K00174,"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] (korA, oorA, oforA)",0
KO:K00175,"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] (korB, oorB, oforB)",0
KO:K00176,"2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] (korD, oorD)",0
KO:K00177,"2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] (korC, oorC)",0
KO:K00186,"2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7] (vorA)",0
KO:K00187,"2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7] (vorB)",0
KO:K00188,"2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7] (vorD)",0
KO:K00189,"2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.7] (vorG)",0
KO:K00200,"formylmethanofuran dehydrogenase subunit A [EC:1.2.99.5] (fwdA, fmdA)",0
KO:K00201,"formylmethanofuran dehydrogenase subunit B [EC:1.2.99.5] (fwdB, fmdB)",0
KO:K00202,"formylmethanofuran dehydrogenase subunit C [EC:1.2.99.5] (fwdC, fmdC)",0
KO:K00203,"formylmethanofuran dehydrogenase subunit D [EC:1.2.99.5] (fwdD, fmdD)",0
KO:K00204,4Fe-4S ferredoxin (fwdH),0
KO:K00205,"4Fe-4S ferredoxin (fwdF, fmdF)",0
KO:K00207,dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2] (DPYD),0
KO:K00208,enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10] (fabI),0
KO:K00209,"enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44] (fabV, ter)",0
KO:K00210,prephenate dehydrogenase [EC:1.3.1.12] (E1.3.1.12),0
KO:K00211,prephenate dehydrogenase (NADP+) [EC:1.3.1.13] (TYR1),0
KO:K00213,7-dehydrocholesterol reductase [EC:1.3.1.21] (DHCR7),0
KO:K00215,4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8] (dapB),0
KO:K00217,maleylacetate reductase [EC:1.3.1.32] (E1.3.1.32),0
KO:K00218,"protochlorophyllide reductase [EC:1.3.1.33] (E1.3.1.33, por)",0
KO:K00220,cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12] (tyrC),0
KO:K00222,"delta14-sterol reductase [EC:1.3.1.70] (TM7SF2, ERG24)",0
KO:K00223,delta24(24(1))-sterol reductase [EC:1.3.1.71] (ERG4),0
KO:K00225,"L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3] (GLDH)",0
KO:K00226,dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1] (pyrD),0
KO:K00227,"delta7-sterol 5-desaturase [EC:1.14.19.20] (SC5DL, ERG3)",0
KO:K00228,"coproporphyrinogen III oxidase [EC:1.3.3.3] (CPOX, hemF)",0
KO:K00230,menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3] (hemG),0
KO:K00231,"oxygen-dependent protoporphyrinogen oxidase [EC:1.3.3.4] (PPOX, hemY)",0
KO:K00232,"acyl-CoA oxidase [EC:1.3.3.6] (E1.3.3.6, ACOX1, ACOX3)",0
KO:K00234,"succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1] (SDHA, SDH1)",0
KO:K00235,"succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1] (SDHB, SDH2)",0
KO:K00236,"succinate dehydrogenase (ubiquinone) cytochrome b560 subunit (SDHC, SDH3)",0
KO:K00237,"succinate dehydrogenase (ubiquinone) membrane anchor subunit (SDHD, SDH4)",0
KO:K00239,"succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4] (sdhA, frdA)",0
KO:K00240,"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4] (sdhB, frdB)",0
KO:K00241,"succinate dehydrogenase / fumarate reductase, cytochrome b subunit (sdhC, frdC)",0
KO:K00242,"succinate dehydrogenase / fumarate reductase, membrane anchor subunit (sdhD, frdD)",0
KO:K00244,fumarate reductase flavoprotein subunit [EC:1.3.5.4] (frdA),0
KO:K00245,fumarate reductase iron-sulfur subunit [EC:1.3.5.4] (frdB),0
KO:K00246,fumarate reductase subunit C (frdC),0
KO:K00247,fumarate reductase subunit D (frdD),0
KO:K00248,"butyryl-CoA dehydrogenase [EC:1.3.8.1] (ACADS, bcd)",1
KO:K00249,"acyl-CoA dehydrogenase [EC:1.3.8.7] (ACADM, acd)",0
KO:K00251,3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3] (AKR1D1),0
KO:K00252,"glutaryl-CoA dehydrogenase [EC:1.3.8.6] (GCDH, gcdH)",0
KO:K00253,"isovaleryl-CoA dehydrogenase [EC:1.3.8.4] (IVD, ivd)",0
KO:K00254,"dihydroorotate dehydrogenase [EC:1.3.5.2] (DHODH, pyrD)",0
KO:K00255,long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8] (ACADL),0
KO:K00259,alanine dehydrogenase [EC:1.4.1.1] (ald),1
KO:K00260,"glutamate dehydrogenase [EC:1.4.1.2] (gudB, rocG)",1
KO:K00261,"glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3] (GLUD1_2, gdhA)",0
KO:K00262,"glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (E1.4.1.4, gdhA)",0
KO:K00263,leucine dehydrogenase [EC:1.4.1.9] (E1.4.1.9),0
KO:K00264,glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14] (GLT1),0
KO:K00265,glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14] (gltB),0
KO:K00266,glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14] (gltD),1
KO:K00270,phenylalanine dehydrogenase [EC:1.4.1.20] (pdh),0
KO:K00271,valine dehydrogenase (NAD+) [EC:1.4.1.23] (vdh),0
KO:K00273,"D-amino-acid oxidase [EC:1.4.3.3] (DAO, aao)",0
KO:K00274,"monoamine oxidase [EC:1.4.3.4] (MAO, aofH)",0
KO:K00275,"pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5] (pdxH, PNPO)",0
KO:K00276,"primary-amine oxidase [EC:1.4.3.21] (AOC3, AOC2, tynA)",0
KO:K00278,L-aspartate oxidase [EC:1.4.3.16] (nadB),0
KO:K00281,"glycine dehydrogenase [EC:1.4.4.2] (GLDC, gcvP)",0
KO:K00282,glycine dehydrogenase subunit 1 [EC:1.4.4.2] (gcvPA),0
KO:K00283,glycine dehydrogenase subunit 2 [EC:1.4.4.2] (gcvPB),0
KO:K00286,pyrroline-5-carboxylate reductase [EC:1.5.1.2] (proC),1
KO:K00287,dihydrofolate reductase [EC:1.5.1.3] (folA),1
KO:K00288,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3] (MTHFD),0
KO:K00290,"saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7] (LYS1)",0
KO:K00291,"saccharopine dehydrogenase (NADP+, L-lysine forming) [EC:1.5.1.8] (E1.5.1.8)",0
KO:K00292,"saccharopine dehydrogenase (NAD+, L-glutamate forming) [EC:1.5.1.9] (E1.5.1.9)",0
KO:K00293,"saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10] (LYS9)",0
KO:K00294,1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88] (E1.2.1.88),0
KO:K00295,methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15] (MTD1),0
KO:K00297,"methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20] (metF, MTHFR)",0
KO:K00299,FMN reductase [EC:1.5.1.38] (ssuE),0
KO:K00301,sarcosine oxidase [EC:1.5.3.1] (E1.5.3.1),0
KO:K00302,"sarcosine oxidase, subunit alpha [EC:1.5.3.1] (soxA)",0
KO:K00303,"sarcosine oxidase, subunit beta [EC:1.5.3.1] (soxB)",0
KO:K00304,"sarcosine oxidase, subunit delta [EC:1.5.3.1] (soxD)",0
KO:K00305,"sarcosine oxidase, subunit gamma [EC:1.5.3.1] (soxG)",0
KO:K00306,sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7] (PIPOX),0
KO:K00307,reticuline oxidase [EC:1.21.3.3] (E1.21.3.3),0
KO:K00314,sarcosine dehydrogenase [EC:1.5.8.3] (SARDH),0
KO:K00315,dimethylglycine dehydrogenase [EC:1.5.8.4] (DMGDH),0
KO:K00316,spermidine dehydrogenase [EC:1.5.99.6] (spdH),0
KO:K00318,proline dehydrogenase [EC:1.5.-.-] (PRODH),0
KO:K00319,methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1] (mtd),0
KO:K00320,"5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2] (mer)",0
KO:K00322,"NAD(P) transhydrogenase [EC:1.6.1.1] (sthA, udhA)",0
KO:K00323,NAD(P) transhydrogenase [EC:1.6.1.2] (NNT),0
KO:K00324,NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2] (pntA),0
KO:K00325,NAD(P) transhydrogenase subunit beta [EC:1.6.1.2] (pntB),0
KO:K00330,NADH-quinone oxidoreductase subunit A [EC:1.6.5.3] (nuoA),0
KO:K00331,NADH-quinone oxidoreductase subunit B [EC:1.6.5.3] (nuoB),0
KO:K00332,NADH-quinone oxidoreductase subunit C [EC:1.6.5.3] (nuoC),0
KO:K00333,NADH-quinone oxidoreductase subunit D [EC:1.6.5.3] (nuoD),0
KO:K00334,NADH-quinone oxidoreductase subunit E [EC:1.6.5.3] (nuoE),1
KO:K00335,NADH-quinone oxidoreductase subunit F [EC:1.6.5.3] (nuoF),1
KO:K00336,NADH-quinone oxidoreductase subunit G [EC:1.6.5.3] (nuoG),1
KO:K00337,NADH-quinone oxidoreductase subunit H [EC:1.6.5.3] (nuoH),0
KO:K00338,NADH-quinone oxidoreductase subunit I [EC:1.6.5.3] (nuoI),0
KO:K00339,NADH-quinone oxidoreductase subunit J [EC:1.6.5.3] (nuoJ),0
KO:K00340,NADH-quinone oxidoreductase subunit K [EC:1.6.5.3] (nuoK),0
KO:K00341,NADH-quinone oxidoreductase subunit L [EC:1.6.5.3] (nuoL),0
KO:K00342,NADH-quinone oxidoreductase subunit M [EC:1.6.5.3] (nuoM),0
KO:K00343,NADH-quinone oxidoreductase subunit N [EC:1.6.5.3] (nuoN),0
KO:K00357,dihydropteridine reductase [EC:1.5.1.34] (QDPR),0
KO:K00365,urate oxidase [EC:1.7.3.3] (uaZ),0
KO:K00380,sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2] (cysJ),0
KO:K00381,sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2] (cysI),0
KO:K00382,"dihydrolipoamide dehydrogenase [EC:1.8.1.4] (DLD, lpd, pdhD)",0
KO:K00390,phosphoadenosine phosphosulfate reductase [EC:1.8.4.8] (cysH),0
KO:K00392,sulfite reductase (ferredoxin) [EC:1.8.7.1] (sir),0
KO:K00394,"adenylylsulfate reductase, subunit A [EC:1.8.99.2] (aprA)",0
KO:K00395,"adenylylsulfate reductase, subunit B [EC:1.8.99.2] (aprB)",0
KO:K00399,methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1] (mcrA),0
KO:K00400,"methyl coenzyme M reductase system, component A2 (K00400)",0
KO:K00401,methyl-coenzyme M reductase beta subunit [EC:2.8.4.1] (mcrB),0
KO:K00402,methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1] (mcrG),0
KO:K00404,cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1] (ccoN),0
KO:K00405,cytochrome c oxidase cbb3-type subunit II (ccoO),0
KO:K00406,cytochrome c oxidase cbb3-type subunit III (ccoP),0
KO:K00407,cytochrome c oxidase cbb3-type subunit IV (ccoQ),0
KO:K00410,ubiquinol-cytochrome c reductase cytochrome b/c1 subunit (fbcH),0
KO:K00411,"ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2] (UQCRFS1, RIP1, petA)",0
KO:K00412,"ubiquinol-cytochrome c reductase cytochrome b subunit (CYTB, petB)",0
KO:K00413,"ubiquinol-cytochrome c reductase cytochrome c1 subunit (CYC1, CYT1, petC)",0
KO:K00414,"ubiquinol-cytochrome c reductase core subunit 1 (QCR1, UQCRC1)",0
KO:K00415,"ubiquinol-cytochrome c reductase core subunit 2 (QCR2, UQCRC2)",0
KO:K00416,"ubiquinol-cytochrome c reductase subunit 6 (QCR6, UQCRH)",0
KO:K00417,"ubiquinol-cytochrome c reductase subunit 7 (QCR7, UQCRB)",0
KO:K00418,"ubiquinol-cytochrome c reductase subunit 8 (QCR8, UQCRQ)",0
KO:K00419,"ubiquinol-cytochrome c reductase subunit 9 (QCR9, UCRC)",0
KO:K00420,"ubiquinol-cytochrome c reductase subunit 10 (QCR10, UQCR)",0
KO:K00422,polyphenol oxidase [EC:1.10.3.1] (E1.10.3.1),0
KO:K00423,L-ascorbate oxidase [EC:1.10.3.3] (E1.10.3.3),0
KO:K00425,cytochrome d ubiquinol oxidase subunit I [EC:1.10.3.-] (cydA),0
KO:K00426,cytochrome d ubiquinol oxidase subunit II [EC:1.10.3.-] (cydB),0
KO:K00430,peroxidase [EC:1.11.1.7] (E1.11.1.7),0
KO:K00431,thyroid peroxidase [EC:1.11.1.8] (TPO),0
KO:K00440,coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1] (frhA),0
KO:K00441,coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1] (frhB),0
KO:K00442,coenzyme F420 hydrogenase subunit delta (frhD),0
KO:K00443,coenzyme F420 hydrogenase subunit gamma [EC:1.12.98.1] (frhG),0
KO:K00446,"catechol 2,3-dioxygenase [EC:1.13.11.2] (dmpB, xylE)",0
KO:K00448,"protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3] (pcaG)",0
KO:K00449,"protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3] (pcaH)",0
KO:K00450,"gentisate 1,2-dioxygenase [EC:1.13.11.4] (E1.13.11.4)",0
KO:K00451,"homogentisate 1,2-dioxygenase [EC:1.13.11.5] (HGD, hmgA)",0
KO:K00452,"3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6] (HAAO)",0
KO:K00453,"tryptophan 2,3-dioxygenase [EC:1.13.11.11] (E1.13.11.11, TDO2)",0
KO:K00454,lipoxygenase [EC:1.13.11.12] (LOX2S),0
KO:K00456,cysteine dioxygenase [EC:1.13.11.20] (CDO1),0
KO:K00457,"4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27] (HPD, hppD)",0
KO:K00458,arachidonate 12-lipoxygenase [EC:1.13.11.31] (ALOX12),0
KO:K00460,arachidonate 15-lipoxygenase [EC:1.13.11.33] (ALOX15),0
KO:K00461,arachidonate 5-lipoxygenase [EC:1.13.11.34] (ALOX5),0
KO:K00462,"biphenyl-2,3-diol 1,2-dioxygenase [EC:1.13.11.39] (bphC)",0
KO:K00463,"indoleamine 2,3-dioxygenase [EC:1.13.11.52] (INDO)",0
KO:K00472,prolyl 4-hydroxylase [EC:1.14.11.2] (E1.14.11.2),0
KO:K00475,naringenin 3-dioxygenase [EC:1.14.11.9] (E1.14.11.9),0
KO:K00480,salicylate hydroxylase [EC:1.14.13.1] (E1.14.13.1),0
KO:K00481,p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2] (pobA),0
KO:K00486,kynurenine 3-monooxygenase [EC:1.14.13.9] (KMO),0
KO:K00487,trans-cinnamate 4-monooxygenase [EC:1.14.13.11] (CYP73A),0
KO:K00488,cholestanetriol 26-monooxygenase [EC:1.14.13.15] (CYP27A),0
KO:K00489,cholesterol 7alpha-monooxygenase [EC:1.14.13.17] (CYP7A1),0
KO:K00491,"nitric-oxide synthase, bacterial [EC:1.14.13.165] (nos)",0
KO:K00497,steroid 11beta-monooxygenase [EC:1.14.15.4] (CYP11B1),0
KO:K00498,cholesterol monooxygenase (side-chain-cleaving) [EC:1.14.15.6] (CYP11A),0
KO:K00500,"phenylalanine-4-hydroxylase [EC:1.14.16.1] (phhA, PAH)",0
KO:K00501,tyrosine 3-monooxygenase [EC:1.14.16.2] (TH),0
KO:K00502,tryptophan 5-monooxygenase [EC:1.14.16.4] (TPH1_2),0
KO:K00503,dopamine beta-monooxygenase [EC:1.14.17.1] (DBH),0
KO:K00505,tyrosinase [EC:1.14.18.1] (TYR),0
KO:K00506,tyrosinase-related protein 1 [EC:1.14.18.-] (TYRP1),0
